,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,helpful_rate,product_type,0,0
10,2479,us,280422,r3ltjzjgc6tqy8,b00iogie14,221535473,"mam love & affection orthodontic pacifier, i love mommy, boy, 0-6 months, 2-count",baby,5,0,0,n,y,five stars,good~,2015-05-08,0.0,pacifier,0.17899553825278597,0.25935386102555424
11,2477,us,280422,r362dzo97g6eih,b00huwrsro,731313227,mayapple baby® - suri™ the octopus and friends teether - medical-grade silicone teething toys,baby,5,0,0,n,y,five stars,good~,2015-05-08,0.0,pacifier,0.17899553825278597,0.25935386102555424
12,304,us,476504,r10x9uouu2g0g8,b004i110d8,262468089,tommee tippee travel bottle and food warmer,baby,5,0,0,n,y,five stars,works wonderfully,2015-08-18,0.0,pacifier,0.17899553825278597,0.9994713734208707
13,301,us,476504,r38y16o1oqg6gf,b006u9dcnc,675481654,personal fit breast shields,baby,5,0,0,n,y,five stars,very good,2015-08-18,0.0,pacifier,0.17899553825278597,0.9791916453702594
14,3336,US,563757,RSKFJBCQWVSJ8,B0042TO3NK,21803708,wubbanub infant plush toy pacifier giraffe,Baby,5,0,0,N,Y,Great soft toy and pacifier,Great idea for a pacifier .... Keeps it from falling  and a soft animal for baby to hold,2015-04-05,0.0,pacifier,0.5544749427758654,0.00410430890539465
15,2837,US,563757,RRBIMALBC69KF,B001FGL9X0,812583172,wubbanub brown puppy pacifier,Baby,5,0,0,N,Y,Great Idea for a pacifier,Love it and the concept of these pacifiers.  My grandson loves his dog so this was a cute idea for a pacifier.,2015-04-27,0.0,pacifier,0.550300556785641,0.00030727861153367225
16,2891,us,614742,r2p7b25ia7wzfj,b008y2dflm,120145267,clevamama clevafoam baby pillow,baby,5,0,1,n,y,very good,very good,2015-04-26,0.0,pacifier,0.9791916453702594,0.9791916453702594
17,2893,us,614742,r14eqi5plr65aj,b000h1iyxw,441122955,"regalo hide away extra long bed rail, white",baby,5,0,0,n,y,very good,very good,2015-04-26,0.0,pacifier,0.9791916453702594,0.9791916453702594
18,4628,US,695780,RDY7M1XQTLCJO,B0045I6IAY,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Five Stars,Excellent!!!,2015-02-16,0.0,pacifier,0.25935386102555424,0.9933452150644921
19,4644,US,695780,R22V6Z1JE1J2TI,B0081ZOV06,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",Baby,5,0,0,N,Y,Five Stars,Excellent,2015-02-16,0.0,pacifier,0.25935386102555424,0.25935386102555424
20,2836,US,769090,RPTW0X6LTRC96,B00I0M8QTC,556747467,"tommee tippee fun pacifier, 2 count",Baby,1,2,3,N,Y,NOT RECOMMENDED! MAM are better.,"Cheaply made materials. My daughter (2) just got hers. It cracked when she stepped on it ,and the second one got a hole in it from her just nibbling it (she nibbles at her MAM pacifiers all the time, and has ten of those. None of them have a single bit of damage from her nibbling.). In my opinion, it's a bit pricey for not too good of a product.",2015-04-27,0.6666666666666666,pacifier,0.9356979971889048,0.0025238311485396535
21,2849,us,769090,r1cxap23p2xpbu,b00a62zu0c,577724765,disney sparkle princess on board sign,baby,3,0,0,n,y,decent product. cheap.,"super adorable, but made out of cheap plastic. the price is decent though. it's just what you would expect. could have a better suction cup, my 2 year old flicks it and it falls. but good for the price.",2015-04-27,0.0,pacifier,0.11969497156200995,0.012819273761069151
22,2114,us,779936,r1bq5jupjtm874,b000yddf6o,86922018,baby einstein take along tunes musical toy,baby,5,0,0,n,n,thanks for this,thanks for this,2015-05-25,0.0,pacifier,0.9533895380294087,0.9533895380294087
23,2152,us,779936,r34h1s8w8nxtr2,b002qyw8lw,102453137,baby banana toothbrush,baby,5,0,0,n,n,daughter loves this,"i finally got my daughter to brush her teeth!! she loves snacking on bananas and such. if i was a 2 year old, i might've brushed more.",2015-05-25,0.0,pacifier,0.9812619197387311,0.2660308985981708
24,1546,us,873199,r2ff3ltssz3vjr,b00so1z4ye,918445553,fairy season cute baby girls princess party tutu lace bowknot flower gown dress pink,baby,2,0,0,n,y,love the color it's a little bit too short,"love the color it's a little bit too short , even though i ordered a bigger size still a little small",2015-06-18,0.0,pacifier,0.9226047334752627,0.07314536376975306
25,1588,us,873199,rc45fez8zlj5s,b00rfhm7v6,982120858,baby girl toddler cute lace wide headband with big flower stretch headwear,baby,4,0,1,n,y,four stars,i love this perfect fit for my daughter,2015-06-18,0.0,pacifier,0.660963741191525,0.9990560493539495
26,4775,US,907231,RF6MMCFUIGA5N,B000ROME3U,772280665,"gerber nuk newborn orthodontic pacifier latex size1, colors vary",Baby,4,0,0,N,Y,Four Stars,Baby do not love to eat,2015-02-07,0.0,pacifier,0.25935386102555424,0.5267967200645164
27,4777,US,907231,R1IAI994UEY6U9,B00GSM2D0E,819123532,"philips avent limited edition royal classic bottle and pacifiers set, 9 ounce (discontinued by manufacturer)",Baby,5,0,0,N,Y,Five Stars,The pacifier good-looking,2015-02-07,0.0,pacifier,0.25935386102555424,0.25935386102555424
28,4776,US,907231,R29DC6VJDNXI4D,B00579NLIM,831792142,"nuk 2 count sports orthodontic pacifier, sports may vary",Baby,4,0,0,N,N,Four Stars,Baby doesn't like eating,2015-02-07,0.0,pacifier,0.25935386102555424,0.0001873063284625111
29,306,US,970142,R3IO29LYC3C64A,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,N,good,"Working well so far , good",2015-04-16,0.0,microwave,0.9368453993503234,0.9994791904646241
30,2966,US,970142,R1BOY16VL6TE2F,B0081ZOV06,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",Baby,5,0,0,N,N,Five Stars,It is a great pacifier and perfectly priced.,2015-04-24,0.0,pacifier,0.25935386102555424,0.9998068392370205
31,3544,US,1051519,R1O1MWI62VQ26E,B005DOK1ZC,463344062,"philips avent 4 count bpa free soothie pacifier, 3 months +",Baby,5,0,0,N,Y,Five Stars,Great product!,2015-03-27,0.0,pacifier,0.25935386102555424,0.30373821958886305
32,3543,US,1051519,R18VSM53RWL3GF,B00H909CPI,509145368,"jj cole pacifier pod, cream & black",Baby,5,0,0,N,Y,Five Stars,Great product!,2015-03-27,0.0,pacifier,0.25935386102555424,0.30373821958886305
33,7039,US,1051574,R2UYBHOAKNFAWO,B005SASC9I,513564343,"philips avent bpa free fashion infant pacifier, 2 pack",Baby,5,0,0,N,Y,Five Stars,good...........,2014-11-25,0.0,pacifier,0.25935386102555424,0.9599850767681043
34,7038,US,1051574,R32DTKLTYWM4DZ,B00BIFAEDY,955350284,dr. brown's prevent classic pacifier,Baby,5,0,0,N,Y,Five Stars,good...........,2014-11-25,0.0,pacifier,0.25935386102555424,0.9599850767681043
35,2811,US,1258806,R223DOWDBO85NM,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,5,2,2,N,Y,Soo ADORABLE!!,"Can't wait for my twins to use these, haven't received them yet..but I'm sure I'll love them, I ordered the monkey and giraffe.<br />Absolutely LuV them..life savers..my babies hug them and wrestle with them..so cute. Definitely gonna order more.",2015-04-29,1.0,pacifier,0.9831073482369717,0.9174430974565969
36,183,US,1258806,RA6IHF64PY1Q1,B004IYAVGM,572944212,"mary meyer wubbanub pacifier, okey dokey dino",Baby,5,1,1,N,Y,My Twins LuV these..soo adorable!❤♡,"Soo in LuV with these..we just received the blue Okey dokey dino and the red dragon..we also have the monkey and giraffe. They are perfect for comforting, and binky doesn't get lost😊<br />Oh and free shipping was super fast..ordered on the 18th,  received on the 21st. We were supposed to get them between 24- 27,28.",2015-08-22,1.0,pacifier,My Twins LuV these..soo adorable!❤♡,"Soo in LuV with these..we just received the blue Okey dokey dino and the red dragon..we also have the monkey and giraffe. They are perfect for comforting, and binky doesn't get lost😊<br />Oh and free shipping was super fast..ordered on the 18th,  received on the 21st. We were supposed to get them between 24- 27,28."
37,7672,US,1267135,R3BX5GCLEYVXKT,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Y,Five Stars,Exactly what I expected.,2014-10-21,0.0,pacifier,0.25935386102555424,0.020772868983051977
38,7674,US,1267135,R19VH4P0K4T6NY,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,5,0,0,N,Y,Five Stars,Exacty what I was looking for.,2014-10-21,0.0,pacifier,0.25935386102555424,0.011825809461684602
39,1879,US,1295392,R1W1G0XYZ3G0EI,B00B4DD0MC,28435092,"mam air orthodontic pacifier, boy, 6+ months, 2-count",Baby,5,0,0,N,Y,Five Stars,"This is very good, I like it",2015-06-04,0.0,pacifier,0.25935386102555424,0.998094088982872
40,3690,US,1295392,R3V4FBWKHJYDR5,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Five Stars,"This is good, my baby after very well",2015-03-19,0.0,pacifier,0.25935386102555424,0.9587137477741774
41,1870,US,1295392,R2C3FH0Q7NVO9H,B001L2SA3A,364133280,philips avent bpa free night time pacifier,Baby,5,0,0,N,Y,Five Stars,"This is very good, I like it",2015-06-04,0.0,pacifier,0.25935386102555424,0.998094088982872
42,7222,US,1372841,R18JNBVL1UDK9B,B0045I6IAY,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,4,0,0,N,Y,I think these are very good pacifiers. They were my sons favorite when he ...,I think these are very good pacifiers. They were my sons favorite when he was 0-3 months. He is now 5 months and does not care for pacifiers that much anymore. I would recommend these to anyone with a newborn as their first pacifiers.,2014-11-15,0.0,pacifier,0.2667645311684564,0.07819631743961841
43,7223,US,1372841,RNOF8CWNWT2L6,B00DYOQMF6,892018890,"mam night orthodontic pacifier, boy, 0-6 plus months, 2-count",Baby,4,0,0,N,Y,I love how these glow in the dark,"I love how these glow in the dark. These were my sons favorite pacifier besides his soothies. I recommend this product, especially the glow in the dark ones because they look so cute.",2014-11-15,0.0,pacifier,0.9942530830108449,0.999763813737451
44,3389,US,1377277,R18K2ZT9O6DWHW,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,5,0,0,N,Y,Love it.,Love it.. The little bit of weight it has in the feet helps it to stay in my 2 month old's mouth.. I will be ordering another animal..,2015-04-01,0.0,pacifier,0.691568342545067,0.012102924326358382
45,3260,US,1377277,R29C7CCVWNQVZD,B001BXREG8,869138578,wubbanub (tm) dragon pacifier!,Baby,5,0,0,N,Y,Five Stars,my 2 month old grabbed it which is a good sign.,2015-04-09,0.0,pacifier,0.25935386102555424,0.4841548984486456
46,2327,US,1409557,R8WA49MZZ4F82,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,5,0,0,N,Y,Five Stars,Nice,2015-05-12,0.0,pacifier,0.25935386102555424,0.25935386102555424
47,2324,US,1409557,R22QF3ABY5DWYG,B00LM5UNNQ,674038347,babypro - cowboy mustache pacifier,Baby,5,0,0,N,Y,Five Stars,Nice,2015-05-12,0.0,pacifier,0.25935386102555424,0.25935386102555424
48,4261,us,1447832,r3c29u05r6vxbj,b005pbpmkw,331737855,soho diaper bag with changing pad 8 pieces set,baby,5,0,0,n,y,five stars,delivery delivered on time and satisfaction with products purchased,2015-02-27,0.0,pacifier,0.17899553825278597,0.9124292082729
49,4300,US,1447832,R5YSZYYYU3F8H,B000ROKDC4,460495350,"nuk 2 pack silicone orthodontic bpa free juicy pacifier, size 1",Baby,4,0,0,N,Y,Four Stars,delivery delivered on time and satisfaction with products purchased,2015-02-27,0.0,pacifier,0.25935386102555424,0.9124292082729
50,4251,us,1447832,r2x38nsjyuqsur,b003m2xm9o,681565719,"girls, animal design, hooded bath baby infant towel set, 3 pack knit terry, frenchie mini couture",baby,5,0,0,n,y,five stars,delivery delivered on time and satisfaction with products purchased,2015-02-27,0.0,pacifier,0.17899553825278597,0.9124292082729
51,9638,us,1448431,r3c5bp495jd8g4,b0042l6oee,128833769,"luvable friends 2 count swaddle blankets, pink",baby,4,0,0,n,y,"they are ok, im sure the more expencive ones ...","they are ok,im sure the more expencive ones are more softer than this,but for the price the softness is more than u can expect",2014-07-13,0.0,pacifier,0.2903371098592795,0.11324015321925934
52,9640,us,1448431,r3f5mhc0xa5wai,b009zu3xyq,951303294,hudson baby 2 count muslin swaddle blanket,baby,4,0,0,n,y,... material is really thin and yes they should be best for summer,didn't try them yet but the material is really thin and yes they should be best for summer.this are huge btw,2014-07-13,0.0,pacifier,0.9172190561846822,0.00893957297286571
53,2855,us,1463825,rg2lh8313k503,b00izgz100,560450661,quilted real tree camo print overnight duffle bag monogram ready,baby,5,0,0,n,y,five stars,wonderful purchase,2015-04-27,0.0,pacifier,0.17899553825278597,0.9933665030206968
54,2857,us,1463825,r3e532brwqobx1,b00ej5suhc,683462592,trend lab five wash cloths,baby,5,0,0,n,y,five stars,love this brand,2015-04-27,0.0,pacifier,0.17899553825278597,0.9998565941373901
55,1296,US,1474119,R1169OLVFY264W,B001L2SA6M,381226741,philips avent bpa free contemporary freeflow pacifier,Baby,5,0,0,N,Y,Five Stars,Good,2015-06-27,0.0,pacifier,0.25935386102555424,0.25935386102555424
56,1289,US,1474119,R374DDMDGEOBP6,B000ROKDC4,460495350,"nuk 2 pack silicone orthodontic bpa free juicy pacifier, size 1",Baby,5,0,0,N,Y,Five Stars,Good,2015-06-27,0.0,pacifier,0.25935386102555424,0.25935386102555424
57,8669,us,1561592,r3j0jrkegeadzk,b005uv0usq,265688328,graco pack 'n play playard with cuddle cove rocking seat,baby,4,0,0,n,n,... i am so relaxed having my baby around and comfortable,with this pack 'n play playard with cuddle cove rocking east winslet i am so relaxed having my baby around and comfortable,2014-08-31,0.0,pacifier,0.7594388900810757,0.12175669494280403
58,8670,us,1561592,r2mcmcuqkwa1ze,b0056z3g1o,331737855,soho diaper bag with changing pad 8 pieces set,baby,3,0,1,n,y,three stars,very helpful...,2014-08-31,0.0,pacifier,0.09410885687318316,0.37440927949907543
59,8688,US,1561592,R1DQ399H3SFFT0,B00608LMSK,781955422,safety 1st comfort check pacifier thermometer with pacifier medicine dispenser,Baby,4,0,0,N,Y,Four Stars,Lovely...,2014-08-31,0.0,pacifier,0.25935386102555424,0.21232453231975087
60,8668,us,1561592,r2hu9w32ybm1u5,b006vpc5r4,833739104,summer infant tubside seat,baby,4,0,1,n,y,four stars,lovely...,2014-08-31,0.0,pacifier,0.660963741191525,0.9970475352846214
61,8709,us,1561592,r18kov54qydbv9,b003xmwfbe,866692712,"munchkin backseat organizer, black",baby,4,0,0,n,y,four stars,this item is very helpful it help me organize my baby's things in the car,2014-08-31,0.0,pacifier,0.660963741191525,0.08649296225765458
62,6428,us,1593785,r1bigq3z7dmoqs,b00006408k,325031069,prince lionheart dresser top diaper depot,baby,4,0,0,n,y,four stars,its okay but i returned and bought the munchkin brand instead.,2014-12-09,0.0,pacifier,0.660963741191525,0.11407931637102142
63,139,US,1593785,R9ANTZOZ8KVRL,B00I0M8QTW,339747365,"tommee tippee night pacifier, 2 count",Baby,5,0,0,N,Y,These were too big for my baby's mouth at first ...,These were too big for my baby's mouth at first but by 3 months it is his pacifier of choice. My baby is breast fed and does not usually take a pacifier. But at night he will or if he needs soothing in the car and this one does the trick!,2015-08-25,0.0,pacifier,0.00010471815941904803,0.003931105986362497
64,1229,US,1627917,R2SOHT4DPM9WUJ,B00GR4SXRA,869431526,"wubbanub mary meyer gardenia bunny plush pacifier, purple (discontinued by manufacturer)",Baby,5,0,0,N,Y,Five Stars,My Granddaughter loves it!,2015-07-02,0.0,pacifier,0.25935386102555424,0.9967741434651005
65,1221,US,1627917,RQBZWTDUUTJOE,B00I90HUVK,878974810,"mary meyer wubbanub confetti wubbanub plush pacifier, puppy (discontinued by manufacturer)",Baby,5,0,0,N,Y,Five Stars,My granddaughter loves it!,2015-07-02,0.0,pacifier,0.25935386102555424,0.9967741434651005
66,4938,us,1792224,r36hlobzesve1y,b00cc0exi6,68041075,"baby dipper feeding set - new larger 6-ounce non-slip bowl, easy one-handed use with babies or toddlers",baby,5,1,1,n,y,five stars,very happy. i have both blue and pink,2015-02-04,1.0,pacifier,0.17899553825278597,0.9779832536710809
67,4980,us,1792224,r33suvzwac92na,b00cc06vcw,68041075,"baby dipper feeding set - new larger 6-ounce non-slip bowl, easy one-handed use with babies or toddlers",baby,5,2,2,n,y,five stars,very happy. i have both blue and pink,2015-02-04,1.0,pacifier,0.17899553825278597,0.9779832536710809
68,6646,us,1833593,r3ordozb8c8czv,b001dnjbdk,169424864,easy teether rail covers (side rails and main rail),baby,5,1,2,n,y,serves its purpose!,no fluff here. it is what it is and it serves its purpose in protecting the crib rails. fits our wider front crib rail. easy to apply. toy tethers are a great addition.,2014-12-06,0.5,pacifier,0.9931147638449425,0.9714287571912511
69,10261,us,1833593,r1wl4d48cbyn8e,b006zists6,194158453,cosco funsport play yard,baby,4,1,1,n,y,great value. does the job.,"i've only used this once today, so i can't review this for longevity purposes. however, my daughter did sleep 3 hours in this during naptime today which was fabulous! who knows if it was this play yard or something else.<br /><br />first, i have a graco p&p with the bassinet for her now at home. i was really concerned in using one without since it seemed so far down, but it really isn't. my lo is 3.5 months and she did just fine without it, so this play yard would be fine for even the smallest of littles.<br /><br />i have a quilted cotton top sheet for the mattress thing since they tend to be very hard. it does just fine. baby beds are not meant to be soft and cozy due to suffocation risk.<br /><br />my only beef with it is that it sure doesn't have the easy fold buttons like a graco. i embarrassingly had to bring this thing nearly all put together downstairs and had to have the mom i nanny for attempt to help me fold it up. we finally figured out you had to push a button underneath the plastic pieces on the side to get the sides to fold. even then, i couldn't get the thing to fold properly so i shoved the jumbled mess into my trunk. i hope i can figure it out tomorrow and store it back in my home. for the issues with tearing it down, i take away a star.<br /><br />for the family on a budget, this is a good travel option. i would not use this as a daily bed for a child.",2014-05-22,1.0,pacifier,0.9931769731304028,0.22110639794294165
70,3231,US,1833593,R1HJGAGB1R0V6P,B0031VLRYI,572944212,wubbanub soft toy and pacifier,Baby,5,0,0,N,Y,Wubbanubs are a must!,"I adore these wubbanubs. My daughter has had the lamb since she was born and it's gotten a little ragged. I wanted to order another one because I pull my hair out trying to find it when it's lost. I loved the colors of this one and the ease of holding it since it's shape. It doesn't seem as soft as the lamby, but it's adorable and I am glad we had another to add to our collection.",2015-04-11,0.0,pacifier,0.7800263323950261,0.02026967642837052
71,6960,US,1915022,RT2AQ48F47TSJ,B00B7U61T6,64500002,"nuk baby talk puller pacifier in assorted colors and styles, 0-6 months",Baby,3,0,0,N,Y,Three Stars,They give me other colors! :-(,2014-12-01,0.0,pacifier,0.25935386102555424,0.007909185299192366
72,6959,US,1915022,R29E7F6GSEY2DH,B00BBE3U1A,943054366,"nuk air shield orthodontic pacifier ,girl, 6-18 months (pack of 2) (discontinued by manufacturer)",Baby,5,0,0,N,Y,Five Stars,Adorable!,2014-12-01,0.0,pacifier,0.25935386102555424,0.6854028387652528
73,1104,US,1915581,R1YGVIBRFMQH3Q,B00DVO0YN0,451617076,gerber first essentials 2 pack soft center latex pacifier,Baby,5,0,0,N,Y,Five Stars,Just what u expect good product,2015-07-09,0.0,pacifier,0.25935386102555424,0.9109575714198714
74,9622,US,1915581,R4U5RX86J4DPT,B00H6FUNVI,756673722,"gerber first essentials soft center latex pacifier, 4 pack",Baby,5,0,0,N,Y,Five Stars,"Awsome, I can choose the color and dont have to wait to see what color they are",2014-07-13,0.0,pacifier,0.25935386102555424,0.5861119358703712
75,2449,us,2010785,r3s37x6qn92wpd,b00009imck,61000532,munchkin twisty figure 8 teether,baby,1,0,0,n,y,one star,too harsh for baby,2015-05-08,0.0,pacifier,0.9787102462719108,3.3328149813358764e-05
76,2451,us,2010785,r7h1cg2b2yrvo,b002qyw8lw,102453137,baby banana toothbrush,baby,4,0,0,n,y,four stars,good product,2015-05-08,0.0,pacifier,0.660963741191525,0.7461896171993311
77,5311,US,2049153,R20AUB5LPR1CMO,B001L2SA3A,364133280,philips avent bpa free night time pacifier,Baby,5,0,0,N,Y,Five Stars,Good,2015-01-19,0.0,pacifier,0.25935386102555424,0.25935386102555424
78,5317,US,2049153,R3NHSYXNLI86IT,B001L2SA6M,381226741,philips avent bpa free contemporary freeflow pacifier,Baby,5,0,0,N,Y,Five Stars,Good,2015-01-19,0.0,pacifier,0.25935386102555424,0.25935386102555424
79,6694,us,2112382,r1xg1uq4bpua3e,b001l2sa6m,381226741,philips avent bpa free contemporary freeflow pacifier,baby,5,0,0,n,y,five stars,good.,2014-12-06,0.0,pacifier,0.17899553825278597,0.9951784489290488
80,6752,US,2112382,R2VAK2B4DQSFBU,B00BIFACT0,955350284,dr. brown's prevent classic pacifier,Baby,5,0,0,N,Y,Five Stars,pretty.,2014-12-06,0.0,pacifier,0.25935386102555424,0.9934144065856411
81,5603,US,2257699,R183FBY7RZS3Q5,B000AKB4IM,295960359,the original billy-bob teeth two front teeth pacifier,Baby,4,0,0,N,Y,Four Stars,Looks really funny,2015-01-07,0.0,pacifier,0.25935386102555424,0.9608772414826707
82,5596,US,2257699,R10AWRO6NNPHYW,B00KCNIRXM,495764832,chicco pacifier soft silicone,Baby,2,0,1,N,Y,Two Stars,Pacifier keeps falling off.,2015-01-07,0.0,pacifier,0.25935386102555424,0.8851466726914173
83,8646,US,2313314,RMAXKQZ7VQG91,B00B7U63EO,64500002,"nuk baby talk puller pacifier in assorted colors and styles, 0-6 months",Baby,4,0,0,N,N,Four Stars,My baby really like these pacifiers,2014-09-02,0.0,pacifier,0.25935386102555424,0.5292007465220531
84,8647,US,2313314,R18P974OK8XJIK,B00LD68J0S,719101633,nuk orthostar soft orthodontic pacifiers girl 0-3 months bpa free new nuk size,Baby,5,0,0,N,N,Five Stars,"My baby love these pacifiers, it are so smooth and lovely colors",2014-09-02,0.0,pacifier,0.25935386102555424,0.9999874136312886
85,8105,US,2371074,R3OXYK4S23O84S,B0027A5FUQ,515907812,nuby paci cradle pacifier box,Baby,5,0,0,N,Y,Five Stars,it's good.,2014-09-28,0.0,pacifier,0.25935386102555424,0.9920920852544359
86,8111,US,2371074,R2ZRXSRWPOCYTF,B005HWJ2LY,831792142,"nuk 2 count sports orthodontic pacifier, sports may vary",Baby,5,0,0,N,Y,Five Stars,it's good.,2014-09-28,0.0,pacifier,0.25935386102555424,0.9920920852544359
87,6709,US,2386743,R70GXS5M5X137,B0045I6IAY,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Nice Pacifiers!,My little guy loved these pacifiers when he was a newborn! Still has some he uses every now and then and he is 8 mo tha old now!,2014-12-06,0.0,pacifier,0.6854028387652528,0.00908171355670988
88,5130,US,2386743,R5626D3FXQC1U,B006SJUH3W,467792741,nuk orthodontic sports pacifiers- 18-36 months (size 3),Baby,5,0,0,N,Y,Great Binkis!,We got the baseball binkis! My son is 10 1/2 months old and loves these binkis the most!,2015-01-28,0.0,pacifier,0.6854028387652528,0.9607010745583805
89,126,US,2425333,RNG6UA952IQMN,B00B4DD0MC,28435092,"mam air orthodontic pacifier, boy, 6+ months, 2-count",Baby,5,0,0,N,Y,The Best!,We love MAM in this house! I've used them exclusively with 3 kids now! Best out there!,2015-08-26,0.0,pacifier,0.6854028387652528,0.30410627197367907
90,127,US,2425333,R3OZNWYPA6417Q,B0082I1IA8,218693378,"mam glow in the dark night orthodontic pacifier, boy, 6+ months, 2-count",Baby,5,0,0,N,Y,Wouldn't use anything else!,We Love MAM!,2015-08-26,0.0,pacifier,0.00015927101897197723,0.6854028387652528
91,833,US,2425333,R30ZP84G3IT8H1,B001AVPLR0,833430714,"natursutten bpa-free natural rubber pacifier, rounded nipple",Baby,3,0,0,N,Y,Wanted to love this but it seemed too short to stay in ...,Wanted to love this but it seemed too short to stay in my newborns mouth so it just kept falling out.,2015-07-24,0.0,pacifier,0.21418905907024688,0.5472609396845745
